ゲーム数,bet数,勝ち負け,持っているお金
1,1000,◯,11000
2,1000,◯,12000
3,1000,◯,13000
4,1000,◯,14000
5,1000,×,13000
6,2000,◯,15000
7,1000,◯,16000
8,1000,×,15000
9,2000,◯,17000
10,1000,×,16000
11,2000,×,14000
12,4000,◯,18000
13,1000,×,17000
14,2000,◯,19000
15,1000,◯,20000
16,1000,◯,21000
17,1000,◯,22000
18,1000,◯,23000
19,1000,×,22000
20,2000,×,20000
21,4000,×,16000
22,8000,◯,24000
23,1000,×,23000
24,2000,◯,25000
25,1000,◯,26000
26,1000,◯,27000
27,1000,×,26000
28,2000,×,24000
29,4000,×,20000
30,8000,×,12000
31,16000,◯,28000
32,1000,◯,29000
33,1000,×,28000
34,2000,◯,30000
35,1000,◯,31000
36,1000,×,30000
37,2000,×,28000
38,4000,◯,32000
39,1000,◯,33000
40,1000,×,32000
41,2000,×,30000
42,4000,×,26000
43,8000,×,18000
44,16000,×,2000
45,32000,×,-30000
破産しました
